Player,Team,DYAR Rank,DYAR,YAR Rank,YAR,DVOA Rank,DVOA,VOA Rank,VOA,QBR Rank,QBR,Pass,Yards,EYds Rank,EYds,TD,FK,FL,INT,C%,DPI,ALEX Rank,ALEX
J. Cutler,CHI,-69,-218,-18.5%,-34.4%,28.1,154,955,663,4,2,3,5,59.1%,2/24,0.7
B. Hundley,GB,-80,-75,-109.2%,-102.9%,5,11,16,-43,0,1,0,1,20.0%,0/0,5.7
M. Sanchez,DAL,-119,-139,-96.6%,-111.0%,4.2,21,68,-50,0,0,0,2,55.6%,1/17,2.0
D. Stanton,ARI,-119,-84,-50.9%,-39.3%,22,48,184,79,2,0,0,2,40.4%,0/0,5.4
K. Hogan,CLE,-131,-133,-86.2%,-87.4%,64.7,28,94,-38,0,0,0,2,53.9%,0/0,2.5
B. Gabbert,SF,-158,-205,-25.4%,-29.6%,54.1,172,876,679,5,0,0,6,57.1%,3/24,-1.2
J. McCown,CLE,-269,-276,-34.4%,-35.0%,30.8,184,966,566,6,3,4,6,54.9%,2/47,2.8
R. Griffin,CLE,-270,-331,-36.0%,-41.6%,39.1,170,743,507,2,2,1,3,59.2%,2/19,-2.0
B. Petty,NYJ,-414,-342,-57.5%,-49.4%,15.9,146,732,158,3,0,1,7,56.4%,0/0,1.3

Player,Team,DYAR Rank,DYAR,YAR Rank,YAR,DVOA Rank,DVOA,VOA Rank,VOA,Runs,Yards,EYds Rank,EYds,TD,FUM
C. Kaepernick,SF,1,134,1,129,4,31.9%,5,30.1%,64,473,1,536,2,2
D. Prescott,DAL,2,121,2,127,2,43.6%,2,46.7%,44,301,3,439,6,2
A. Luck,IND,3,93,5,93,6,26.2%,7,26.4%,47,356,5,380,2,1
B. Bortles,JAX,4,90,3,101,7,23.4%,6,27.7%,51,364,4,394,3,1
A. Rodgers,GB,5,89,4,99,8,22.4%,8,26.1%,51,383,6,370,4,3
T. Taylor,BUF,6,65,10,48,18,2.1%,19,-1.6%,89,585,2,482,6,3
M. Stafford,DET,7,64,7,66,5,29.3%,4,30.6%,29,216,11,263,2,0
A. Dalton,CIN,8,60,9,53,10,20.6%,13,16.8%,34,192,10,271,4,2
B. Osweiler,HOU,9,54,8,54,3,35.5%,3,35.2%,18,145,12,210,2,1
B. Gabbert,SF,10,52,13,30,14,13.3%,17,2.7%,38,175,9,272,2,0
M. Mariota,TEN,11,52,6,71,16,9.5%,12,17.7%,47,361,8,294,2,3
K. Hogan,CLE,12,45,11,45,1,108.2%,1,110.5%,8,105,20,131,1,0
R. Griffin,CLE,13,39,12,42,12,17.0%,11,19.5%,29,188,14,182,2,1
M. Ryan,ATL,14,32,14,29,15,12.7%,15,10.3%,22,128,16,171,0,0
A. Smith,KC,15,26,17,22,17,4.8%,18,2.2%,31,144,17,151,5,1
C. Keenum,LAR,16,25,15,24,9,22.2%,9,20.6%,13,58,21,112,1,0
J. Flacco,BAL,17,21,19,19,13,15.8%,14,12.3%,12,64,22,105,2,0
D. Brees,NO,18,21,16,23,11,17.3%,10,19.5%,11,32,23,104,2,0
K. Cousins,WAS,19,18,18,22,19,1.9%,16,5.0%,20,112,19,137,4,3
C. Wentz,PHI,20,16,21,9,20,-3.6%,20,-7.3%,33,154,15,173,2,2
R. Tannehill,MIA,21,8,23,-1,21,-7.0%,23,-12.8%,32,168,18,139,1,1
R. Wilson,SEA,22,-1,22,7,22,-12.3%,22,-9.8%,56,273,13,203,1,1
C. Newton,CAR,23,-2,20,17,23,-12.5%,21,-8.6%,85,364,7,339,5,1
T. Siemian,DEN,24,-4,24,-2,24,-17.0%,24,-14.4%,17,64,27,56,0,1
J. Brissett,NE,25,-8,25,-6,28,-24.4%,28,-22.4%,13,86,28,27,1,2
T. Brady,NE,26,-9,28,-12,25,-18.9%,26,-21.2%,19,73,25,76,0,1
R.  Fitzpatrick,NYJ,27,-11,26,-9,26,-19.5%,25,-18.3%,26,129,24,79,0,2
P. Lynch,DEN,28,-12,27,-9,29,-43.0%,29,-34.5%,8,29,29,0,0,0
J. Winston,TB,29,-19,29,-16,27,-23.8%,27,-21.9%,34,183,26,72,1,3
D. Carr,OAK,30,-39,30,-33,30,-50.3%,30,-44.2%,22,94,30,-17,0,2

